rank	kanji	kind
835	扱	Jōyō
836	眺	Jōyō
837	輪	Kyōiku (4th grade)
838	補	Kyōiku (6th grade)
839	曲	Kyōiku (3rd grade)
840	紅	Kyōiku (6th grade)
841	春	Kyōiku (2nd grade)
842	授	Kyōiku (5th grade)
843	担	Kyōiku (6th grade)
844	既	Jōyō
845	裂	Jōyō
846	漏	Jōyō
847	志	Kyōiku (5th grade)
848	枚	Kyōiku (6th grade)
849	医	Kyōiku (3rd grade)
850	犬	Kyōiku (1st grade)
851	玉	Kyōiku (1st grade)
852	層	Kyōiku (6th grade)
853	洗	Kyōiku (6th grade)
854	率	Kyōiku (5th grade)
855	登	Kyōiku (3rd grade)
856	陰	Jōyō
857	綺	Jinmeiyō
858	伏	Jōyō
